date,year,month,record_type,main_category,sub_category,person,amount,note
2026-05-04,2026,5,variable,食費,贅沢,共通,3573,弁当購入
2026-05-05,2026,5,variable,食費,必要,共通,1122,
2026-05-06,2026,5,variable,食費,必要,共通,1809,
2026-05-07,2026,5,variable,食費,必要,共通,514,
2026-05-08,2026,5,variable,食費,必要,共通,1205,
2026-05-09,2026,5,variable,食費,必要,共通,815,
2026-05-10,2026,5,variable,食費,必要,共通,2488,
2026-05-18,2026,5,variable,食費,必要,共通,914,
2026-05-19,2026,5,variable,食費,必要,共通,272,
2026-05-21,2026,5,variable,食費,必要,共通,1205,
2026-05-22,2026,5,variable,食費,必要,共通,1422,
2026-05-23,2026,5,variable,食費,必要,共通,5676,
2026-05-25,2026,5,variable,食費,必要,共通,4037,
2026-05-27,2026,5,variable,食費,必要,共通,4178,
2026-05-11,2026,5,variable,食費,贅沢,共通,570,
2026-05-09,2026,5,variable,雑費,必要,共通,3416,
2026-05-23,2026,5,variable,雑費,必要,共通,2580,
2026-05-25,2026,5,variable,雑費,必要,共通,1685,
2026-05-10,2026,5,variable,美容,ななこ,ななこ,16244,
2026-05-19,2026,5,variable,交際費,ななこ,ななこ,1600,なつみちゃんとランチ
2026-05-10,2026,5,variable,育児,必要,共通,18473,
2026-05-06,2026,5,variable,育児,贅沢,共通,1848,
2026-05-10,2026,5,variable,育児,贅沢,共通,1395,
2026-05-01,2026,5,monthly_income,収入,ななこmain,ななこ,238734,
